rank,symbol,cw_das_score,ucf_label,ucf_score,composite_score,signal_direction,ess_value,ess_source_file,ess_snapshot_date,ess_age_days,ess_coverage_domain,ess_numeric,ess_present,ess_stale,zacks_value,zacks_source_file,zacks_source_date,zacks_age_days,zacks_present,zacks_stale,danelfin_value,danelfin_source_file,danelfin_source_date,danelfin_age_days,danelfin_present,danelfin_stale,replay_supported,replay_percentile,replay_percentile_present,score_signal_pts,score_replay_pts,score_conviction_pts,score_sizing_pts,score_momentum_pts,score_redundancy_pen,score_conc_pen,yahoo_price_target,yahoo_abr,yahoo_upside_pct,yahoo_present,missing_signals,stale_signals,signal_risk,cross_artifact_status
11,SANM,90.78,HIGH_CONVICTION_ANCHOR,89.53,4.2778,BULLISH,BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,4.0,Y,N,5.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,4.0000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,25.67,20.0,28.0,7.12,10.0,0.0,0.0,212.25,(blank),-20.2,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
12,PCB,90.74,HIGH_CONVICTION_ANCHOR,89.38,4.3333,BULLISH,VERY_BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,5.0,Y,N,3.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,4.0000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,26.0,20.0,28.0,6.74,10.0,0.0,0.0,26.00,(blank),5.5,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
13,CIEN,90.11,HIGH_CONVICTION_ANCHOR,88.67,4.2778,BULLISH,BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,4.0,Y,N,5.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,4.0000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,25.67,20.0,28.0,6.44,10.0,0.0,0.0,457.91,2.05,-18.6,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
14,NUE,89.62,HIGH_CONVICTION_ANCHOR,88.32,4.1111,BULLISH,BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,4.0,Y,N,5.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,2.5000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,24.67,20.0,28.0,6.95,10.0,0.0,0.0,244.14,1.76,-2.0,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
15,GFF,88.5,HIGH_CONVICTION_ANCHOR,87.36,3.8333,BULLISH,BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,4.0,Y,N,4.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,2.5000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,23.0,20.0,28.0,7.5,10.0,0.0,0.0,118.29,(blank),35.4,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
16,ALNT,88.46,HIGH_CONVICTION_ANCHOR,87.4,3.7778,BULLISH,BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,4.0,Y,N,3.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,4.5000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,22.67,20.0,28.0,7.79,10.0,0.0,0.0,73.80,1.60,-1.7,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
17,MTZ,88.35,HIGH_CONVICTION_ANCHOR,87.26,3.7778,BULLISH,BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,4.0,Y,N,3.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,4.5000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,22.67,20.0,28.0,7.69,10.0,0.0,0.0,473.05,1.25,23.4,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
18,CRS,88.2,HIGH_CONVICTION_ANCHOR,87.17,3.7222,BULLISH,BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,4.0,Y,N,3.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,4.0000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,22.33,20.0,28.0,7.87,10.0,0.0,0.0,459.44,1.33,-1.2,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
19,CMCO,87.95,HIGH_CONVICTION_ANCHOR,86.94,3.6667,BULLISH,BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,4.0,Y,N,3.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,3.5000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,22.0,20.0,28.0,7.95,10.0,0.0,0.0,26.50,(blank),65.3,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
20,ANGO,87.88,HIGH_CONVICTION_ANCHOR,86.57,3.8333,BULLISH,BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,4.0,Y,N,4.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,2.5000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,23.0,20.0,28.0,6.88,10.0,0.0,0.0,18.00,(blank),54.1,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
