symbol,ucf_label,ucf_score,ucf_rank,conflict_flags,narrative_tier,anchor_rank,strategic_classification,trim_score,deployment_eligible,deployment_blocked,deployment_rank,signal_direction,composite_score,ess,replay_supported,replay_percentile,weight_pct,is_overweight
MKSI,TACTICAL_GROWTH,56.49,45,REPLAY_LOSS|SIGNAL_TIER_MISMATCH,TACTICAL_GROWTH_CANDIDATE,51,TACTICAL_GROWTH,10.31,False,False,,BULLISH,3.944444,BULLISH,False,,0.6885,False
HCI,TACTICAL_GROWTH,55.32,46,REPLAY_LOSS|SIGNAL_TIER_MISMATCH,TACTICAL_GROWTH_CANDIDATE,49,TACTICAL_GROWTH,10.44,False,False,,BULLISH,3.833333,BULLISH,False,,0.9819,False
LMAT,TACTICAL_GROWTH,54.11,47,REPLAY_LOSS|SIGNAL_TIER_MISMATCH,TACTICAL_GROWTH_CANDIDATE,48,TACTICAL_GROWTH,10.67,False,False,,BULLISH,3.777778,BULLISH,False,,1.4945,False
JBL,TACTICAL_GROWTH,53.43,48,REPLAY_LOSS|SIGNAL_TIER_MISMATCH,TACTICAL_GROWTH_CANDIDATE,53,TACTICAL_GROWTH,10.59,False,False,,BULLISH,3.611111,BULLISH,False,,1.3092,False
AMZN,TACTICAL_GROWTH,53.06,49,,TACTICAL_GROWTH_CANDIDATE,46,TACTICAL_GROWTH,18.66,False,False,,NEUTRAL,3.0,NEUTRAL,True,,0.3455,True
IVZ,TACTICAL_GROWTH,53.05,50,REPLAY_LOSS|SIGNAL_TIER_MISMATCH,TACTICAL_GROWTH_CANDIDATE,50,TACTICAL_GROWTH,10.69,False,False,,BULLISH,3.611111,BULLISH,False,,1.5271,False
FHI,TACTICAL_GROWTH,50.48,51,REPLAY_LOSS|SIGNAL_TIER_MISMATCH,TACTICAL_GROWTH_CANDIDATE,47,TACTICAL_GROWTH,11.28,False,False,,BULLISH,3.555556,BULLISH,False,,2.8352,False
MCB,TACTICAL_GROWTH,49.75,52,REPLAY_LOSS,TACTICAL_GROWTH_CANDIDATE,55,TACTICAL_GROWTH,10.39,False,False,,BULLISH,3.5,,False,,0.8767,False
SMR,TACTICAL_GROWTH,45.74,53,,TACTICAL_GROWTH_CANDIDATE,57,TACTICAL_GROWTH,17.17,False,False,,NEUTRAL,3.428571,,False,,0.3715,False
PLTR,TACTICAL_GROWTH,45.46,54,,TACTICAL_GROWTH_CANDIDATE,58,TACTICAL_GROWTH,17.01,False,False,,NEUTRAL,3.285714,,False,,0.0328,False
AMG,TACTICAL_GROWTH,41.26,55,,TACTICAL_GROWTH_CANDIDATE,56,TACTICAL_GROWTH,17.58,False,False,,NEUTRAL,2.944444,NEUTRAL,False,,1.288,False
FIS,TACTICAL_GROWTH,34.36,56,,TACTICAL_GROWTH_CANDIDATE,54,TACTICAL_GROWTH,19.22,False,False,,NEUTRAL,2.833333,NEUTRAL,False,,4.9321,False
NVS,TACTICAL_GROWTH,31.17,57,,TACTICAL_GROWTH_CANDIDATE,60,TACTICAL_GROWTH,40.09,False,False,,NEUTRAL,3.0,NEUTRAL,False,,0.193,True
KGC,TACTICAL_GROWTH,20.1,58,,TACTICAL_GROWTH_CANDIDATE,59,TACTICAL_GROWTH,29.21,False,False,,NEUTRAL,2.611111,BEARISH,False,,1.5849,True
MSFT,MAINTAIN,57.92,59,CONVICTION_OW_TENSION|SIGNAL_TIER_MISMATCH,HIGH_CONVICTION_ANCHOR,41,HIGH_CONVICTION_RETAIN,11.92,True,True,42,BULLISH,3.444444,BULLISH,True,,0.9309,True
M26CNT069,MAINTAIN,16.05,60,,TACTICAL_GROWTH_CANDIDATE,77,TACTICAL_GROWTH,27.0,False,False,,UNKNOWN,,,False,,0.0,False
FSOL,MAINTAIN,16.02,61,,TACTICAL_GROWTH_CANDIDATE,76,TACTICAL_GROWTH,27.01,False,False,,UNKNOWN,,,False,,0.0201,False
XRP,MAINTAIN,16.01,62,,TACTICAL_GROWTH_CANDIDATE,75,TACTICAL_GROWTH,27.01,False,False,,UNKNOWN,,,False,,0.0215,False
FCPGX,MAINTAIN,15.98,63,,TACTICAL_GROWTH_CANDIDATE,74,TACTICAL_GROWTH,27.02,False,False,,UNKNOWN,,,False,,0.0433,False
FMCSX,MAINTAIN,15.78,64,,TACTICAL_GROWTH_CANDIDATE,73,TACTICAL_GROWTH,27.07,False,False,,UNKNOWN,,,False,,0.1582,False
FETH,MAINTAIN,15.63,65,,TACTICAL_GROWTH_CANDIDATE,72,TACTICAL_GROWTH,27.11,False,False,,UNKNOWN,,,False,,0.2427,False
VWO,MAINTAIN,15.51,66,,TACTICAL_GROWTH_CANDIDATE,71,TACTICAL_GROWTH,27.14,False,False,,UNKNOWN,,,False,,0.3177,False
FBTC,MAINTAIN,15.3,67,,TACTICAL_GROWTH_CANDIDATE,69,TACTICAL_GROWTH,27.2,False,False,,UNKNOWN,,,False,,0.4351,False
BND,MAINTAIN,14.85,68,,TACTICAL_GROWTH_CANDIDATE,68,TACTICAL_GROWTH,27.31,False,False,,UNKNOWN,,,False,,0.7,False
BNDX,MAINTAIN,14.74,69,,TACTICAL_GROWTH_CANDIDATE,67,TACTICAL_GROWTH,27.35,False,False,,UNKNOWN,,,False,,0.7668,False
VO,MAINTAIN,12.96,70,,TACTICAL_GROWTH_CANDIDATE,65,TACTICAL_GROWTH,27.81,False,False,,UNKNOWN,,,False,,1.8028,False
VB,MAINTAIN,9.69,71,,TACTICAL_GROWTH_CANDIDATE,63,TACTICAL_GROWTH,28.67,False,False,,UNKNOWN,,,False,,3.715,False
FXAIX,MAINTAIN,2.62,72,,TACTICAL_GROWTH_CANDIDATE,70,TACTICAL_GROWTH,39.1,False,False,,UNKNOWN,,,False,,1.3291,True
SPAXX,MAINTAIN,0.0,73,,TACTICAL_GROWTH_CANDIDATE,62,TACTICAL_GROWTH,31.06,False,False,,UNKNOWN,,,False,,9.0254,False
VOO,MAINTAIN,0.0,74,,TACTICAL_GROWTH_CANDIDATE,64,TACTICAL_GROWTH,40.16,False,False,,UNKNOWN,,,False,,3.6831,True
TSLA,TRIM_WATCH,19.54,75,,TACTICAL_GROWTH_CANDIDATE,52,TACTICAL_GROWTH,32.9,False,False,,BEARISH,1.333333,VERY_BEARISH,True,,3.1019,True
PRIM,TRIM_WATCH,17.58,76,,TACTICAL_GROWTH_CANDIDATE,61,TACTICAL_GROWTH,30.46,False,False,,BEARISH,2.055556,BEARISH,False,,1.026,False
DODFX,TRIM_WATCH,0.0,77,,TACTICAL_GROWTH_CANDIDATE,66,TACTICAL_GROWTH,51.46,False,False,,UNKNOWN,,,False,,3.2439,True
FIGFX,TRIM_WATCH,0.0,78,,TACTICAL_GROWTH_CANDIDATE,80,TACTICAL_GROWTH,50.12,False,False,,UNKNOWN,,,False,,0.2611,True
TTNDY,TRIM_WATCH,0.0,79,,TACTICAL_GROWTH_CANDIDATE,81,TACTICAL_GROWTH,50.05,False,False,,UNKNOWN,,,False,,0.1097,True
VEA,TRIM_WATCH,0.0,80,,TACTICAL_GROWTH_CANDIDATE,79,TACTICAL_GROWTH,50.34,False,False,,UNKNOWN,,,False,,0.7601,True
VXUS,TRIM_WATCH,0.0,81,,TACTICAL_GROWTH_CANDIDATE,78,TACTICAL_GROWTH,50.38,False,False,,UNKNOWN,,,False,,0.8339,True
